学号	姓名	性别	民族	年龄	地址	总绩点	面向对象程序设计绩点	面向对象课设绩点	高数绩点	线代绩点	大物绩点	大英绩点
20267777	还没来	女	汉	17	上海市	5	5	5	5	5	5	5
20246666	凑数的	男	傣	19	北京市海淀区	4.91667	5	4.5	5	5	5	5
20241111	王甜心	男	汉	24	河北省承德市	4.5	4.5	4.5	4.5	5	4	4.5
20245128	张含烨	女	汉	19	广东省佛山市	4.48333	4.9	4.5	4	4.6	4.6	4.3
20215111	毕业老登	男	汉	22	江苏省苏州市	4.4	4.9	4.5	4	4.5	4	4.5
20241234	王明	男	汉	20	广东省广州市	4.35	4.1	4.5	4	4.5	4.5	4.5
20223111	牢学长	男	壮	21	广西壮族自治区南宁市	4.06667	4	4.5	3.7	4.2	4	4
20245555	李四	男	蒙古	18	内蒙古自治区呼和浩特市	4.05	4	4.5	3.8	4	4	4
20255673	小登	女	汉	18	吉林省长春市	4.03333	4	3.5	3.8	4.5	4	4.4
20241431	张三	男	满	20	辽宁省沈阳市	3.91667	4	4.5	3.5	4	4	3.5
20234123	ldx	男	维吾尔	20	新疆维吾尔自治区乌鲁木齐市	3.88333	4.5	3.5	3.5	4	3.8	4
20246745	季数仁	男	瑶	19	浙江省杭州市	3.66667	4.5	3.5	3.5	3.5	3	4
20231334	江赢余	女	汉	20	福建省厦门市	3.31667	2.5	3.4	3	3	3	5
55556666	测试用例3	3	3	3	3	3	3	3	3	3	3	3
11114444	测试用例2	2	2	2	2	2	2	2	2	2	2	2
20245111	凯恩	男	汉族	31	英国伦敦	1.31667	1.5	1.8	2.1	0.5	1	1
20209856	刘继忍	男	汉	23	云南省昆明市	1.25	1	1.5	0.5	2	0.5	2
22223333	测试用例1	1	1	1	1	1	1	1	1	1	1	1
